YEAR,MO,DY,HR,WDG temp,OIL TEMP,ambient TMP,AVG Current,Fault type
2020,1,1,0,67,41,21,210,NO FAULT
2020,1,1,1,67,39,20,225,NO FAULT
2020,1,1,2,69,40,20,211,NO FAULT
2020,1,1,3,88,56,20,260,HEATING
2020,1,1,4,89,56,20,260,HEATING
2020,1,1,5,88,56,20,260,HEATING
2020,1,1,6,87,55,20,260,HEATING
2020,1,1,7,88,56,20,260,HEATING
2020,1,1,8,87,56,20,260,HEATING
2020,1,1,9,88,55,20,260,HEATING
2020,1,1,10,98,64,20,340,OVER LOADING
2020,1,1,11,98,64,20,340,OVER HEATING
2020,1,1,12,98,64,20,340,OVER LOADING
2020,1,1,13,98,64,20,340,NO FAULT
2020,1,1,14,69,44,23,211,NO FAULT
2020,1,1,15,67,42,25,226,NO FAULT
2020,1,1,16,69,37,26,229,NO FAULT
2020,1,1,17,70,43,27,230,NO FAULT
2020,1,1,18,79,37,28,212,NO FAULT
2020,1,1,19,86,36,30,227,NO FAULT
2020,1,1,20,85,39,28,224,NO FAULT
2020,1,1,21,76,42,28,215,NO FAULT
2020,1,1,22,68,38,27,221,NO FAULT
2020,1,1,23,67,43,25,217,NO FAULT
2020,1,2,0,69,44,24,225,NO FAULT
2020,1,2,1,68,38,23,227,NO FAULT
2020,1,2,2,69,41,22,221,NO FAULT
2020,1,2,3,67,42,22,219,NO FAULT
2020,1,2,4,69,36,22,227,NO FAULT
2020,1,2,5,69,40,21,225,NO FAULT
2020,1,2,6,69,40,21,222,NO FAULT
2020,1,2,7,70,37,21,223,NO FAULT
2020,1,2,8,68,35,21,214,NO FAULT
2020,1,2,9,68,38,20,217,NO FAULT
2020,1,2,10,70,39,20,222,NO FAULT
2020,1,2,11,67,43,20,230,NO FAULT
2020,1,2,12,70,36,21,210,NO FAULT
2020,1,2,13,69,41,22,228,NO FAULT
2020,1,2,14,68,42,24,212,NO FAULT
2020,1,2,15,67,42,25,218,NO FAULT
2020,1,2,16,68,44,26,212,NO FAULT
2020,1,2,17,69,38,27,223,NO FAULT
2020,1,2,18,68,42,28,230,NO FAULT
2020,1,2,19,68,44,28,213,NO FAULT
2020,1,2,20,67,42,28,218,NO FAULT
2020,1,2,21,67,45,28,227,NO FAULT
2020,1,2,22,67,37,27,217,NO FAULT
2020,1,2,23,67,36,25,227,NO FAULT
2020,1,3,0,68,42,24,213,NO FAULT
2020,1,3,1,71,35,23,214,NO FAULT
2020,1,3,2,70,44,22,219,NO FAULT
2020,1,3,3,68,37,22,217,NO FAULT
2020,1,3,4,69,37,21,214,NO FAULT
2020,1,3,5,67,44,21,229,NO FAULT
2020,1,3,6,70,44,21,217,NO FAULT
2020,1,3,7,67,45,20,213,NO FAULT
2020,1,3,8,70,44,20,226,NO FAULT
2020,1,3,9,67,40,20,229,NO FAULT
2020,1,3,10,70,38,20,212,NO FAULT
2020,1,3,11,68,40,20,211,NO FAULT
2020,1,3,12,69,45,20,222,NO FAULT
2020,1,3,13,68,44,23,211,NO FAULT
2020,1,3,14,68,35,24,226,NO FAULT
2020,1,3,15,68,35,26,220,NO FAULT
2020,1,3,16,67,39,27,223,NO FAULT
2020,1,3,17,67,38,29,229,NO FAULT
2020,1,3,18,70,40,29,215,NO FAULT
2020,1,3,19,68,41,30,222,NO FAULT
2020,1,3,20,70,41,29,210,NO FAULT
2020,1,3,21,70,41,29,216,NO FAULT
2020,1,3,22,68,39,28,229,NO FAULT
2020,1,3,23,67,41,26,211,NO FAULT
2020,1,4,0,70,35,25,216,NO FAULT
2020,1,4,1,70,45,24,218,NO FAULT
2020,1,4,2,68,41,23,210,NO FAULT
2020,1,4,3,68,38,23,224,NO FAULT
2020,1,4,4,68,40,22,229,NO FAULT
2020,1,4,5,68,37,22,222,NO FAULT
2020,1,4,6,69,39,21,227,NO FAULT
2020,1,4,7,68,38,21,212,NO FAULT
2020,1,4,8,67,36,21,225,NO FAULT
2020,1,4,9,70,44,20,224,NO FAULT
2020,1,4,10,67,37,20,226,NO FAULT
